Customer ID,Recency,Frequency,Monetary,Monetary Score,Recency Score,Frequency Score,RFM Score,Segment
12346.0,166,11,372.86,2,2,5,252,Churn Risk Customers
12347.0,4,2,1323.32,4,5,2,524,New Customers
12348.0,75,1,222.16,1,2,1,211,Churn Risk Customers
12349.0,44,3,2671.1400000000003,5,3,3,335,Potential Loyalists
12351.0,12,1,300.93,2,5,1,512,New Customers
12352.0,12,2,343.79999999999995,2,5,2,522,New Customers
12353.0,45,1,317.75999999999993,2,3,1,312,Churn Risk Customers
12355.0,204,1,488.21,2,1,1,112,Churn Risk Customers
12356.0,17,3,3562.2499999999995,5,4,3,435,Potential Loyalists
12357.0,25,2,12079.990000000002,5,4,2,425,New Customers
12358.0,12,3,2719.01,5,5,3,535,Potential Loyalists
12359.0,62,6,2563.36,5,3,4,345,Loyal Customers
12360.0,16,5,1590.83,4,5,4,544,High-Value Customers
12361.0,99,3,321.35,2,2,3,232,Churn Risk Customers
12362.0,375,1,130.0,1,1,1,111,Churn Risk Customers
12366.0,270,1,500.24,2,1,1,112,Churn Risk Customers
12368.0,265,1,917.6999999999999,3,1,1,113,Churn Risk Customers
12369.0,50,3,1791.1499999999999,4,3,3,334,Potential Loyalists
12370.0,261,3,774.62,3,1,3,133,Churn Risk Customers
12371.0,46,3,2179.42,5,3,3,335,Potential Loyalists
12373.0,261,2,763.0500000000001,3,1,2,123,Churn Risk Customers
12374.0,58,3,2246.29,5,3,3,335,Potential Loyalists
12376.0,26,2,503.15000000000003,2,4,2,422,New Customers
12377.0,18,2,1798.2,4,4,2,424,New Customers
12378.0,199,1,1407.7,4,1,1,114,Churn Risk Customers
12379.0,59,2,767.98,3,3,2,323,Churn Risk Customers
12380.0,102,7,6951.49,5,2,5,255,Churn Risk Customers
12385.0,16,1,1938.3999999999999,4,5,1,514,New Customers
12386.0,3,1,258.9,2,5,1,512,New Customers
12387.0,52,1,143.94,1,3,1,311,Churn Risk Customers
12388.0,82,2,1120.45,4,2,2,224,Churn Risk Customers
12389.0,39,3,1433.33,4,3,3,334,Potential Loyalists
12391.0,101,5,2312.5299999999997,5,2,4,245,Churn Risk Customers
12392.0,228,1,234.75000000000003,1,1,1,111,Churn Risk Customers
12393.0,19,2,816.8500000000001,3,4,2,423,New Customers
12395.0,8,4,2048.6400000000003,4,5,4,544,High-Value Customers
